volume_no,file,raw_chars,no_ws_chars
1,《资治通鉴.第1部》全译(1-56)/001.txt,22011,20390
2,《资治通鉴.第1部》全译(1-56)/002.txt,24089,22369
3,《资治通鉴.第1部》全译(1-56)/003.txt,22035,20865
4,《资治通鉴.第1部》全译(1-56)/004.txt,26512,25255
5,《资治通鉴.第1部》全译(1-56)/005.txt,27233,26449
6,《资治通鉴.第1部》全译(1-56)/006.txt,32019,30576
7,《资治通鉴.第1部》全译(1-56)/007.txt,29134,27856
8,《资治通鉴.第1部》全译(1-56)/008.txt,26766,25881
9,《资治通鉴.第1部》全译(1-56)/009.txt,24737,23843
10,《资治通鉴.第1部》全译(1-56)/010.txt,24626,23981
11,《资治通鉴.第1部》全译(1-56)/011.txt,26026,25150
12,《资治通鉴.第1部》全译(1-56)/012.txt,29149,27696
13,《资治通鉴.第1部》全译(1-56)/013.txt,27337,25920
14,《资治通鉴.第1部》全译(1-56)/014.txt,24396,23581
15,《资治通鉴.第1部》全译(1-56)/015.txt,26608,25391
16,《资治通鉴.第1部》全译(1-56)/016.txt,32257,30680
17,《资治通鉴.第1部》全译(1-56)/017.txt,27205,26194
18,《资治通鉴.第1部》全译(1-56)/018.txt,29681,28377
19,《资治通鉴.第1部》全译(1-56)/019.txt,28825,27554
20,《资治通鉴.第1部》全译(1-56)/020.txt,26448,25319
21,《资治通鉴.第1部》全译(1-56)/021.txt,29920,28607
22,《资治通鉴.第1部》全译(1-56)/022.txt,25665,24503
23,《资治通鉴.第1部》全译(1-56)/023.txt,21879,20878
24,《资治通鉴.第1部》全译(1-56)/024.txt,29650,28754
25,《资治通鉴.第1部》全译(1-56)/025.txt,28959,28012
26,《资治通鉴.第1部》全译(1-56)/026.txt,21871,21347
27,《资治通鉴.第1部》全译(1-56)/027.txt,22579,21575
28,《资治通鉴.第1部》全译(1-56)/028.txt,11765,11080
29,《资治通鉴.第1部》全译(1-56)/029.txt,29227,28196
30,《资治通鉴.第1部》全译(1-56)/030.txt,29465,28325
31,《资治通鉴.第1部》全译(1-56)/031.txt,13854,13238
32,《资治通鉴.第1部》全译(1-56)/032.txt,19599,18835
33,《资治通鉴.第1部》全译(1-56)/033.txt,23369,22677
34,《资治通鉴.第1部》全译(1-56)/034.txt,22827,22179
35,《资治通鉴.第1部》全译(1-56)/035.txt,26774,25919
36,《资治通鉴.第1部》全译(1-56)/036.txt,24456,23562
37,《资治通鉴.第1部》全译(1-56)/037.txt,29249,28253
38,《资治通鉴.第1部》全译(1-56)/038.txt,27724,26675
39,《资治通鉴.第1部》全译(1-56)/039.txt,30505,29556
40,《资治通鉴.第1部》全译(1-56)/040.txt,29087,27932
41,《资治通鉴.第1部》全译(1-56)/041.txt,31247,30071
42,《资治通鉴.第1部》全译(1-56)/042.txt,27415,26121
43,《资治通鉴.第1部》全译(1-56)/043.txt,29512,27900
44,《资治通鉴.第1部》全译(1-56)/044.txt,30891,29293
45,《资治通鉴.第1部》全译(1-56)/045.txt,25969,24695
46,《资治通鉴.第1部》全译(1-56)/046.txt,27250,26113
47,《资治通鉴.第1部》全译(1-56)/047.txt,26316,25275
48,《资治通鉴.第1部》全译(1-56)/048.txt,26483,24825
49,《资治通鉴.第1部》全译(1-56)/049.txt,28654,26698
50,《资治通鉴.第1部》全译(1-56)/050.txt,32440,30567
51,《资治通鉴.第1部》全译(1-56)/051.txt,33774,32210
52,《资治通鉴.第1部》全译(1-56)/052.txt,29220,27572
