volume_no,file,original_chars,white_chars,paired_sections,original_only_sections,white_only_sections
1,《资治通鉴.第1部》全译(1-56)/001.txt,7491,11648,76,0,1
2,《资治通鉴.第1部》全译(1-56)/002.txt,8109,12686,83,0,0
3,《资治通鉴.第1部》全译(1-56)/003.txt,7874,12067,61,0,1
4,《资治通鉴.第1部》全译(1-56)/004.txt,9628,14481,55,1,1
5,《资治通鉴.第1部》全译(1-56)/005.txt,10135,15684,32,0,1
6,《资治通鉴.第1部》全译(1-56)/006.txt,10347,18840,81,0,0
7,《资治通鉴.第1部》全译(1-56)/007.txt,9822,17201,38,0,0
8,《资治通鉴.第1部》全译(1-56)/008.txt,9748,15888,27,0,0
9,《资治通鉴.第1部》全译(1-56)/009.txt,8874,14533,38,0,0
10,《资治通鉴.第1部》全译(1-56)/010.txt,8436,15400,20,0,1
11,《资治通鉴.第1部》全译(1-56)/011.txt,8892,15880,39,0,0
12,《资治通鉴.第1部》全译(1-56)/012.txt,10634,16308,77,0,0
13,《资治通鉴.第1部》全译(1-56)/013.txt,9643,15540,72,0,0
14,《资治通鉴.第1部》全译(1-56)/014.txt,8512,14630,31,0,0
15,《资治通鉴.第1部》全译(1-56)/015.txt,9174,15410,60,0,0
16,《资治通鉴.第1部》全译(1-56)/016.txt,10936,18764,87,0,1
17,《资治通鉴.第1部》全译(1-56)/017.txt,9033,16686,43,0,0
18,《资治通鉴.第1部》全译(1-56)/018.txt,9968,18010,55,0,1
19,《资治通鉴.第1部》全译(1-56)/019.txt,9747,17647,36,0,0
20,《资治通鉴.第1部》全译(1-56)/020.txt,9251,15458,61,0,1
21,《资治通鉴.第1部》全译(1-56)/021.txt,10388,17519,72,0,0
22,《资治通鉴.第1部》全译(1-56)/022.txt,8629,15273,64,0,0
23,《资治通鉴.第1部》全译(1-56)/023.txt,7219,12983,59,0,1
24,《资治通鉴.第1部》全译(1-56)/024.txt,10219,18110,38,1,2
25,《资治通鉴.第1部》全译(1-56)/025.txt,10378,17146,51,0,0
26,《资治通鉴.第1部》全译(1-56)/026.txt,8010,13094,18,0,0
27,《资治通鉴.第1部》全译(1-56)/027.txt,7989,13056,62,0,0
28,《资治通鉴.第1部》全译(1-56)/028.txt,8724,2150,12,4,0
29,《资治通鉴.第1部》全译(1-56)/029.txt,10323,16713,55,0,2
30,《资治通鉴.第1部》全译(1-56)/030.txt,10138,17534,66,0,1
31,《资治通鉴.第1部》全译(1-56)/031.txt,4641,8154,37,0,2
32,《资治通鉴.第1部》全译(1-56)/032.txt,6894,11510,44,0,0
33,《资治通鉴.第1部》全译(1-56)/033.txt,7544,14814,28,1,2
34,《资治通鉴.第1部》全译(1-56)/034.txt,7989,13901,34,0,1
35,《资治通鉴.第1部》全译(1-56)/035.txt,9279,16236,42,0,0
36,《资治通鉴.第1部》全译(1-56)/036.txt,8638,14090,45,0,2
37,《资治通鉴.第1部》全译(1-56)/037.txt,10868,17022,50,0,1
38,《资治通鉴.第1部》全译(1-56)/038.txt,9562,16558,63,0,4
39,《资治通鉴.第1部》全译(1-56)/039.txt,11395,17800,38,0,2
40,《资治通鉴.第1部》全译(1-56)/040.txt,10553,16871,67,0,0
41,《资治通鉴.第1部》全译(1-56)/041.txt,11486,18094,64,0,0
42,《资治通鉴.第1部》全译(1-56)/042.txt,9749,15843,61,0,1
43,《资治通鉴.第1部》全译(1-56)/043.txt,10476,16462,101,0,0
44,《资治通鉴.第1部》全译(1-56)/044.txt,10120,18230,93,0,2
45,《资治通鉴.第1部》全译(1-56)/045.txt,9209,14595,78,0,0
46,《资治通鉴.第1部》全译(1-56)/046.txt,9597,15909,73,1,0
47,《资治通鉴.第1部》全译(1-56)/047.txt,9106,15604,70,1,0
48,《资治通鉴.第1部》全译(1-56)/048.txt,9184,14601,117,1,0
49,《资治通鉴.第1部》全译(1-56)/049.txt,9352,16093,140,2,3
50,《资治通鉴.第1部》全译(1-56)/050.txt,10506,19003,124,1,4
51,《资治通鉴.第1部》全译(1-56)/051.txt,11979,19523,88,0,0
52,《资治通鉴.第1部》全译(1-56)/052.txt,9474,17198,106,1,2
53,《资治通鉴.第1部》全译(1-56)/053.txt,9369,17193,89,1,1
54,《资治通鉴.第1部》全译(1-56)/054.txt,9875,17997,83,1,2
55,《资治通鉴.第1部》全译(1-56)/055.txt,10080,17681,45,0,0
56,《资治通鉴.第1部》全译(1-56)/056.txt,9765,17101,60,0,0
57,《资治通鉴.第2部》全译(57-123)/057.txt,9271,17809,110,0,1
58,《资治通鉴.第2部》全译(57-123)/058.txt,8351,17194,85,0,1
59,《资治通鉴.第2部》全译(57-123)/059.txt,10958,17559,64,0,0
60,《资治通鉴.第2部》全译(57-123)/060.txt,10869,17966,59,0,0
61,《资治通鉴.第2部》全译(57-123)/061.txt,10911,17372,39,0,0
62,《资治通鉴.第2部》全译(57-123)/062.txt,12069,19060,37,0,0
63,《资治通鉴.第2部》全译(57-123)/063.txt,10404,16515,20,0,0
64,《资治通鉴.第2部》全译(57-123)/064.txt,8375,13988,25,0,0
65,《资治通鉴.第2部》全译(57-123)/065.txt,10390,16640,33,0,0
66,《资治通鉴.第2部》全译(57-123)/066.txt,9151,14689,40,0,0
67,《资治通鉴.第2部》全译(57-123)/067.txt,7705,12163,28,0,0
68,《资治通鉴.第2部》全译(57-123)/068.txt,9081,15780,31,0,1
69,《资治通鉴.第2部》全译(57-123)/069.txt,12221,19491,69,0,0
70,《资治通鉴.第2部》全译(57-123)/070.txt,10053,16067,62,0,0
71,《资治通鉴.第2部》全译(57-123)/071.txt,7971,12678,36,0,1
72,《资治通鉴.第2部》全译(57-123)/072.txt,12150,18777,51,1,1
73,《资治通鉴.第2部》全译(57-123)/073.txt,9782,14672,41,1,0
74,《资治通鉴.第2部》全译(57-123)/074.txt,10996,16174,69,0,0
75,《资治通鉴.第2部》全译(57-123)/075.txt,10912,18832,65,0,0
76,《资治通鉴.第2部》全译(57-123)/076.txt,9744,15900,26,0,0
77,《资治通鉴.第2部》全译(57-123)/077.txt,9724,15615,52,0,0
78,《资治通鉴.第2部》全译(57-123)/078.txt,9723,14866,46,0,0
79,《资治通鉴.第2部》全译(57-123)/079.txt,11604,18824,115,0,2
80,《资治通鉴.第2部》全译(57-123)/080.txt,9838,17399,78,0,1
81,《资治通鉴.第2部》全译(57-123)/081.txt,10524,18161,56,0,0
82,《资治通鉴.第2部》全译(57-123)/082.txt,9978,16442,52,0,0
83,《资治通鉴.第2部》全译(57-123)/083.txt,8596,14044,25,0,0
84,《资治通鉴.第2部》全译(57-123)/084.txt,8073,13921,28,0,0
85,《资治通鉴.第2部》全译(57-123)/085.txt,9016,17071,33,0,1
86,《资治通鉴.第2部》全译(57-123)/086.txt,10263,14562,84,1,0
87,《资治通鉴.第2部》全译(57-123)/087.txt,11381,18130,70,0,1
88,《资治通鉴.第2部》全译(57-123)/088.txt,11139,16739,66,0,0
